shipment_id,zone,latitude,longitude,distance_km,weight_kg,package_type,vehicle_type,route_id,stops_per_route,month,day,hour,is_weekend,is_festive,peak_hour,promised_delivery_hrs,actual_delivery_hrs,delay_hrs,on_time,first_attempt,total_cost_inr,fuel_cost_inr,labor_cost_inr,route_efficiency,cost_per_km
DEL100023,Mumbai,18.909060194957075,72.75975785384738,22.55,2.73,Standard,3-Wheeler,RT-136,8,9,16,13,0,0,1,10.93,3.74,1.71,1,1,595.23,360.77,194.86,82.7,26.4
DEL100024,Bangalore,13.122296746735492,77.66582761008226,11.62,1.03,Express,2-Wheeler,RT-120,11,4,6,18,1,0,1,3.72,3.05,1.5,1,1,334.38,139.39,194.86,81.1,28.79
DEL100025,Kolkata,22.67878805184166,88.3685328230294,14.34,6.85,Standard,2-Wheeler,RT-100,9,10,3,8,1,1,0,10.58,3.01,1.53,1,1,397.75,172.12,177.29,75.2,27.73
DEL100026,Delhi_NCR,28.458654094481197,76.88763005454179,45.0,6.08,Express,2-Wheeler,RT-103,12,11,9,16,0,0,0,2.08,6.32,2.95,0,1,898.83,540.0,317.21,77.2,19.97
DEL100027,Bangalore,13.03994785053014,77.60060706321481,2.02,0.59,Standard,2-Wheeler,RT-157,12,6,11,16,0,0,0,7.79,1.46,0.53,1,0,299.07,24.28,147.0,67.0,147.8
DEL100028,Hyderabad,17.32018365434512,78.4720580913595,26.36,0.1,Standard,2-Wheeler,RT-100,15,5,21,15,0,0,0,11.11,3.73,1.34,1,1,540.08,316.37,250.55,82.4,20.49
DEL100029,Delhi_NCR,28.432104468537567,77.20737998134008,10.37,3.38,Express,2-Wheeler,RT-112,13,1,13,19,0,0,1,3.08,3.11,1.88,0,1,375.08,124.47,212.72,80.3,36.16
DEL100030,Hyderabad,17.344147691552283,78.57914568522303,8.13,4.39,Express,2-Wheeler,RT-145,23,5,18,17,0,0,1,3.09,3.11,1.15,0,1,414.72,97.54,292.85,72.7,51.02
DEL100031,Delhi_NCR,28.555180979461785,77.11865410435726,7.36,8.59,Fragile,3-Wheeler,RT-146,23,5,26,7,0,0,0,6.91,3.13,1.31,1,1,560.64,117.77,293.47,78.9,76.17
DEL100032,Delhi_NCR,28.40581026995405,76.85071282145618,12.97,5.51,Express,2-Wheeler,RT-175,13,9,22,13,0,0,1,2.75,3.8,2.26,0,1,422.16,155.6,237.05,77.8,32.56
DEL100033,Pune,18.49812338910167,73.89398165041514,8.17,2.29,Express,3-Wheeler,RT-106,24,1,28,12,0,1,1,3.99,4.33,2.34,0,1,507.35,130.76,343.61,63.0,62.08
DEL100034,Ahmedabad,23.07000410962386,72.55833251574187,4.86,1.89,Standard,2-Wheeler,RT-150,21,5,24,11,0,0,1,6.03,3.43,1.76,1,1,349.7,58.28,288.17,81.0,72.0
DEL100035,Kolkata,22.64324366014429,88.50104283901622,7.54,0.1,Standard,Van,RT-102,20,7,27,12,1,0,1,6.91,4.06,2.31,1,1,449.4,165.84,301.95,75.7,59.62
DEL100036,Mumbai,19.20093294500201,72.7618856476045,13.18,0.71,Standard,Van,RT-149,11,11,22,11,0,0,1,6.12,2.3,1.31,1,1,452.69,290.04,168.57,92.9,34.34
DEL100037,Delhi_NCR,28.640253473628913,76.87345112489272,15.8,1.54,Express,2-Wheeler,RT-125,7,6,4,12,0,0,1,3.36,3.05,1.61,1,1,343.11,189.6,162.85,92.2,21.72
DEL100038,Chennai,12.94681800634501,80.34666564831679,27.87,2.48,Express,3-Wheeler,RT-130,23,6,22,20,1,0,1,3.0,5.1,1.92,0,0,945.44,445.94,362.47,43.9,33.92
DEL100039,Bangalore,12.84987344001553,77.62461085370798,11.32,2.04,Standard,2-Wheeler,RT-161,12,12,24,8,0,0,0,8.24,2.48,0.86,1,1,312.82,135.84,182.74,84.7,27.63
DEL100040,Delhi_NCR,28.70907786715906,77.29172547938087,21.57,3.39,Express,Van,RT-125,9,7,8,19,1,0,1,3.68,4.79,2.97,0,1,740.43,474.49,239.66,83.0,34.33
DEL100041,Bangalore,12.99587703922042,77.45341979659672,9.44,0.82,Express,3-Wheeler,RT-166,10,6,13,13,0,0,1,3.9,2.96,1.56,1,1,328.11,151.12,183.44,78.3,34.74
DEL100042,Delhi_NCR,28.563230654121995,77.1623981503693,10.25,2.08,Standard,2-Wheeler,RT-154,6,5,10,15,0,0,0,9.19,1.67,0.69,1,1,277.41,123.03,106.36,100.0,27.06
DEL100043,Pune,18.421966624786208,73.85518807936275,9.93,0.23,Standard,2-Wheeler,RT-127,23,10,2,17,1,1,1,11.86,4.46,2.29,1,1,469.34,119.1,339.93,71.8,47.29
DEL100044,Mumbai,18.864941398956116,72.7735735491465,12.13,1.33,Heavy,2-Wheeler,RT-143,17,5,8,11,0,0,1,10.05,3.11,1.42,1,1,388.57,145.58,244.9,83.4,32.03
DEL100045,Hyderabad,17.38892314667056,78.34645051391507,17.41,3.47,Express,2-Wheeler,RT-137,10,9,6,12,1,1,1,2.15,4.44,2.57,0,1,475.62,208.93,235.53,80.8,27.32
DEL100046,Mumbai,19.105393381717704,72.95683949074117,7.96,2.96,Heavy,3-Wheeler,RT-129,10,8,16,12,0,0,1,9.01,3.42,2.07,1,1,332.51,127.35,199.7,81.9,41.78
DEL100047,Bangalore,13.08020534468818,77.52005258548569,5.85,11.68,Standard,3-Wheeler,RT-165,6,12,18,11,0,0,1,11.99,1.9,0.85,1,1,314.97,93.58,114.53,89.5,53.85
DEL100048,Bangalore,12.858618903790674,77.48659874411705,18.2,0.81,Fragile,2-Wheeler,RT-107,9,10,17,19,0,0,1,9.11,3.37,1.8,1,1,426.51,218.43,190.07,83.1,23.43
DEL100049,Delhi_NCR,28.718215124771817,77.29453300854082,17.47,1.72,Standard,2-Wheeler,RT-113,15,4,6,17,0,0,1,11.79,4.21,2.1,1,1,499.26,209.68,267.41,64.1,28.57
DEL100050,Ahmedabad,22.956317228965126,72.68724244924874,23.47,1.0,Standard,2-Wheeler,RT-161,15,4,13,8,0,0,0,6.1,2.83,0.7,1,1,489.67,281.61,219.13,87.3,20.87
DEL100051,Kolkata,22.418189949278013,88.38945371735538,7.19,1.45,Fragile,2-Wheeler,RT-174,18,10,23,8,0,1,0,10.33,3.33,2.02,1,1,345.25,86.25,260.53,86.4,48.03
DEL100052,Pune,18.577265129862727,74.01129073712383,9.24,4.86,Standard,Van,RT-162,17,5,14,12,0,0,1,9.76,2.76,0.99,1,1,441.27,203.2,232.45,77.3,47.77
DEL100053,Pune,18.578521733033106,73.99051842492094,18.59,2.88,Express,2-Wheeler,RT-178,12,3,26,8,0,0,0,3.38,2.4,0.54,1,1,394.45,223.08,180.07,80.4,21.22
DEL100054,Hyderabad,17.368807567389982,78.58518878981128,7.9,5.35,Standard,3-Wheeler,RT-165,19,8,21,15,1,0,0,9.42,2.28,0.77,1,1,401.34,126.41,231.9,88.8,50.8
DEL100055,Pune,18.420028711596167,74.01844499681816,15.42,0.57,Express,2-Wheeler,RT-139,16,7,10,9,0,0,0,3.49,2.48,0.48,1,1,442.76,185.05,214.72,86.7,28.71
DEL100056,Delhi_NCR,28.673796188076867,77.37210843897374,9.47,5.17,Fragile,2-Wheeler,RT-112,7,5,24,13,1,0,1,6.9,3.22,2.05,1,1,367.47,113.64,168.82,88.7,38.8
DEL100057,Delhi_NCR,28.626159142259148,77.25050438663757,12.93,0.15,Standard,3-Wheeler,RT-116,9,10,11,6,0,0,0,11.53,2.7,1.34,1,1,363.0,206.82,166.52,88.6,28.08
DEL100058,Delhi_NCR,28.663201330468056,77.31211266522874,4.79,5.49,Express,3-Wheeler,RT-114,10,3,13,11,0,0,1,2.28,2.65,1.5,0,1,292.06,76.63,172.63,79.9,60.98
DEL100059,Mumbai,18.886733491913766,72.76810562519717,11.23,1.0,Standard,2-Wheeler,RT-132,6,5,12,16,1,0,0,11.96,2.19,1.24,1,0,364.2,134.8,124.63,68.5,32.42
DEL100060,Mumbai,18.961196455304567,72.79786340403396,1.0,0.94,Express,3-Wheeler,RT-115,12,3,9,13,0,0,1,3.21,2.23,1.19,1,1,172.03,16.0,174.11,82.0,172.03
DEL100061,Mumbai,19.24230260496649,72.81576419620741,20.64,1.79,Standard,3-Wheeler,RT-112,9,10,4,20,0,0,1,8.67,3.46,1.72,1,1,524.48,330.28,192.93,80.1,25.41
DEL100062,Kolkata,22.741552839536695,88.31791352711988,16.59,7.06,Standard,2-Wheeler,RT-122,21,5,7,18,0,0,1,11.52,5.09,2.52,1,1,597.36,199.12,346.28,73.8,36.0
DEL100063,Mumbai,18.931953062059915,72.98690955214275,5.59,0.12,Standard,3-Wheeler,RT-135,6,1,24,11,0,1,1,10.77,2.27,1.76,1,0,409.28,89.46,127.53,62.3,73.2
DEL100064,Mumbai,19.146418498975397,72.89945871493595,26.64,1.09,Standard,3-Wheeler,RT-142,15,6,22,7,0,1,0,8.57,5.15,2.56,1,1,725.37,426.17,300.28,77.3,27.23
DEL100065,Bangalore,12.994377242828172,77.70172062239529,19.94,4.85,Fragile,2-Wheeler,RT-149,8,10,2,17,1,0,1,6.41,3.84,2.1,1,1,528.87,239.24,198.35,85.0,26.53
DEL100066,Delhi_NCR,28.514227370665647,77.49743374123972,4.95,1.26,Standard,3-Wheeler,RT-173,15,4,7,18,0,0,1,11.21,3.0,1.64,1,1,286.97,79.19,225.13,84.0,57.98
DEL100067,Kolkata,22.741177606751375,88.42761399022143,7.57,0.56,Standard,2-Wheeler,RT-112,13,4,9,17,1,0,1,10.59,2.91,1.67,1,1,315.2,90.85,206.02,87.8,41.63
DEL100068,Delhi_NCR,28.49977122546457,77.2761597697019,5.15,1.38,Standard,2-Wheeler,RT-129,10,8,5,9,0,0,0,10.74,1.73,0.69,1,1,198.66,61.76,140.63,89.6,38.6
DEL100069,Ahmedabad,22.964439681795835,72.50613050044116,13.14,1.22,Standard,3-Wheeler,RT-156,6,2,15,21,0,0,0,10.47,1.67,0.53,1,1,303.67,210.22,106.3,99.8,23.11
DEL100070,Kolkata,22.490189010978924,88.36191803485876,7.36,6.18,Express,Van,RT-129,19,4,18,10,0,0,1,3.26,3.72,2.11,0,1,472.79,161.88,282.08,79.9,64.26
DEL100071,Delhi_NCR,28.834136252704187,77.30901834883642,2.42,3.59,Fragile,Van,RT-170,9,2,4,16,1,0,0,11.15,2.06,1.08,1,1,248.88,53.18,143.96,91.1,102.97
DEL100072,Delhi_NCR,28.771353260599987,77.09784533411366,10.22,1.76,Standard,2-Wheeler,RT-109,16,1,19,18,1,0,1,6.01,3.44,1.76,1,1,361.94,122.7,248.3,75.5,35.4
DEL100073,Kolkata,22.521077247391435,88.32986356704461,17.8,11.14,Heavy,2-Wheeler,RT-165,17,10,20,10,0,1,1,7.42,4.81,2.89,1,1,612.74,213.55,304.28,76.9,34.43
DEL100074,Chennai,13.245059825494423,80.11002729785311,11.37,1.57,Express,3-Wheeler,RT-138,21,3,26,18,0,0,1,2.47,3.67,1.72,0,1,469.13,181.96,296.34,76.8,41.25
DEL100075,Chennai,13.196812598448979,80.24466885214309,14.63,0.15,Standard,2-Wheeler,RT-136,8,12,7,11,0,0,1,6.66,3.15,1.53,1,1,364.0,175.5,174.39,79.3,24.89
DEL100076,Kolkata,22.553515396716357,88.4538401811453,12.03,0.76,Express,Van,RT-102,14,8,26,20,0,0,1,2.59,2.99,1.5,0,0,570.36,264.57,216.58,50.4,47.43
DEL100077,Delhi_NCR,28.64333447071235,77.41139626665716,16.2,1.43,Express,3-Wheeler,RT-133,5,6,8,10,0,0,1,3.42,2.89,1.52,1,1,393.41,259.24,141.06,82.3,24.28
DEL100078,Mumbai,19.255315838805068,72.87651627806204,12.67,0.43,Express,Van,RT-137,15,12,17,19,1,0,1,3.4,3.72,2.1,0,1,518.58,278.65,250.18,71.6,40.94
DEL100079,Delhi_NCR,28.538413898617524,77.21464523001535,9.89,7.37,Heavy,2-Wheeler,RT-113,20,7,13,7,0,0,0,7.4,3.43,1.76,1,1,437.47,118.62,280.2,69.7,44.26
DEL100080,Kolkata,22.71932717096584,88.27373176615198,11.29,3.64,Standard,2-Wheeler,RT-163,15,2,24,16,1,0,0,9.93,2.65,0.91,1,1,377.66,135.46,212.64,87.6,33.46
DEL100081,Hyderabad,17.46803830424722,78.52104607703238,23.95,0.78,Fragile,Van,RT-138,13,6,21,13,0,0,1,8.81,4.05,1.84,1,1,775.87,526.99,245.73,80.8,32.39
DEL100082,Mumbai,19.179900860086878,72.78947030553817,15.1,2.23,Heavy,3-Wheeler,RT-153,6,8,28,13,0,0,1,8.75,3.27,1.72,1,1,444.21,241.65,162.47,91.0,29.41
DEL100083,Delhi_NCR,28.757912482341045,77.43632276446594,5.58,3.2,Standard,Van,RT-101,11,8,23,10,0,0,1,10.61,2.21,0.96,1,1,267.41,122.73,165.23,80.8,47.93
DEL100084,Mumbai,18.93085739899161,72.82126299747716,11.18,7.09,Express,2-Wheeler,RT-142,23,4,11,16,1,0,0,3.35,3.78,1.38,0,1,530.47,134.17,316.24,67.0,47.44
DEL100085,Mumbai,19.28712779231874,72.80429308581284,13.0,5.33,Standard,3-Wheeler,RT-152,22,6,27,9,1,0,0,8.09,3.4,1.0,1,1,532.29,208.03,295.04,73.1,40.94
DEL100086,Chennai,13.191754037347831,80.223069464112,9.68,1.81,Fragile,3-Wheeler,RT-102,24,5,1,14,0,0,0,11.77,3.3,1.02,1,1,526.92,154.95,307.38,79.2,54.41
DEL100087,Hyderabad,17.336530876041113,78.60476246544539,2.43,3.73,Express,2-Wheeler,RT-140,11,9,2,10,0,0,1,3.13,1.34,0.69,1,1,196.27,29.14,134.93,91.5,80.84
DEL100088,Pune,18.511326313750665,73.9044452061789,5.98,2.06,Standard,3-Wheeler,RT-107,13,8,17,19,0,0,1,7.83,2.26,1.09,1,1,319.29,95.61,183.16,83.0,53.43
DEL100089,Bangalore,12.92573167928992,77.65753279800222,8.19,2.01,Standard,3-Wheeler,RT-174,16,2,5,7,0,0,0,9.66,2.36,0.71,1,1,356.3,130.99,210.74,85.3,43.52
DEL100090,Delhi_NCR,28.48176193629251,77.07375707565623,28.36,0.3,Express,2-Wheeler,RT-162,7,12,6,9,0,0,0,2.95,3.92,1.84,0,1,533.03,340.3,193.05,82.7,18.8
DEL100091,Chennai,13.237764928934116,80.16453335817528,14.17,0.34,Standard,2-Wheeler,RT-164,20,7,26,10,1,0,1,10.9,4.24,2.08,1,1,462.09,170.0,308.37,70.0,32.62
DEL100092,Chennai,13.112694665816516,80.18129751605616,3.42,1.89,Standard,3-Wheeler,RT-178,11,7,25,12,0,0,1,6.28,1.89,0.83,1,1,221.9,54.65,153.99,89.0,64.96
DEL100093,Hyderabad,17.52071559399031,78.34580578125141,10.07,0.78,Standard,3-Wheeler,RT-103,9,11,24,10,1,1,1,10.25,4.2,2.84,1,1,366.41,161.07,219.07,81.9,36.4
DEL100094,Kolkata,22.73943736577749,88.35882633948427,21.88,0.1,Standard,Van,RT-167,11,12,7,13,0,0,1,10.32,4.08,2.23,1,1,716.89,481.4,230.95,89.0,32.76
DEL100095,Bangalore,12.882617662171263,77.47572386156551,7.29,3.21,Standard,2-Wheeler,RT-109,23,1,28,18,0,0,1,7.28,3.82,1.75,1,1,434.01,87.49,317.64,67.9,59.53
DEL100096,Bangalore,12.85941526678064,77.6319208819946,18.99,0.1,Standard,2-Wheeler,RT-174,21,1,21,16,1,0,0,6.68,3.8,1.2,1,1,527.19,227.86,300.98,71.6,27.76
DEL100097,Bangalore,12.91795111175095,77.74010917805892,3.5,2.26,Standard,Van,RT-149,20,12,15,14,0,0,0,10.5,1.96,0.59,1,1,348.55,77.04,228.67,78.6,99.53
DEL100098,Delhi_NCR,28.615443761830903,76.97409999081134,1.0,1.94,Express,Van,RT-122,23,4,19,8,1,0,0,3.94,2.54,1.01,1,1,320.19,22.0,272.74,79.6,320.19
DEL100099,Delhi_NCR,28.708572493302015,77.2947440518198,20.58,8.67,Express,2-Wheeler,RT-160,22,5,16,16,0,1,0,2.83,5.56,2.87,0,1,668.6,247.01,370.63,78.1,32.48
DEL100100,Delhi_NCR,28.483520953950475,76.91733345140182,7.92,1.66,Standard,Van,RT-146,23,4,25,9,0,0,0,7.34,3.7,1.48,1,1,512.41,174.2,313.6,74.9,64.71
DEL100101,Hyderabad,17.26283499942674,78.55774070527298,2.52,0.16,Standard,2-Wheeler,RT-102,8,7,13,17,1,0,1,6.19,1.16,0.55,1,1,155.13,30.26,104.51,86.6,61.52
DEL100102,Mumbai,19.148712037429814,72.89238926272495,8.32,2.01,Express,2-Wheeler,RT-116,5,3,5,10,1,0,1,2.31,2.45,1.56,0,0,302.38,99.9,125.85,57.5,36.32
DEL100103,Bangalore,13.09545965713922,77.73198455353251,11.96,4.6,Standard,2-Wheeler,RT-121,8,7,3,12,0,0,1,8.01,2.63,1.2,1,1,314.67,143.51,156.03,84.7,26.31
DEL100104,Pune,18.546338591099186,74.01048138415398,13.88,14.4,Standard,2-Wheeler,RT-115,8,8,3,11,0,0,1,7.63,2.71,1.06,1,1,431.16,166.54,158.8,89.5,31.07
DEL100105,Mumbai,18.94262854451655,72.78357588581932,1.27,1.41,Standard,Van,RT-179,13,6,19,18,1,0,1,11.52,2.23,1.25,1,1,204.84,27.96,181.9,86.9,161.18
DEL100106,Bangalore,12.894412364030947,77.46998039963127,6.92,0.97,Heavy,3-Wheeler,RT-102,12,6,14,9,1,0,0,7.4,1.35,0.5,1,1,274.6,110.7,143.41,89.0,39.69
DEL100107,Chennai,13.062467811200413,80.33415142307373,11.06,5.93,Heavy,Van,RT-151,6,8,16,14,0,0,0,8.81,1.93,0.73,1,1,388.62,243.25,115.67,87.9,35.15
DEL100108,Mumbai,18.867704593300832,72.786632974203,13.86,0.53,Heavy,3-Wheeler,RT-132,10,8,22,9,1,0,0,11.74,2.59,1.08,1,1,376.91,221.76,170.79,80.0,27.19
DEL100109,Delhi_NCR,28.626099514141718,77.45371251226953,5.53,2.39,Express,2-Wheeler,RT-141,15,7,17,16,0,0,0,3.19,2.23,1.05,1,1,288.45,66.4,198.17,86.0,52.13
DEL100110,Mumbai,18.99227024723954,72.90217044260652,9.37,1.3,Express,3-Wheeler,RT-101,8,6,27,18,0,0,1,2.96,2.69,1.49,1,1,313.91,149.97,158.15,83.4,33.49
DEL100111,Delhi_NCR,28.420786429525194,76.90384024067346,7.28,0.1,Standard,Van,RT-138,18,6,4,12,0,0,1,7.96,4.11,2.17,1,1,471.19,160.07,287.83,72.4,64.76
DEL100112,Pune,18.64665753073971,74.0395356089308,12.2,1.07,Express,3-Wheeler,RT-145,13,10,13,13,0,0,1,3.59,2.98,1.37,1,1,419.57,195.19,208.43,77.7,34.39
DEL100113,Kolkata,22.40172899332704,88.53313412489813,20.17,0.77,Standard,Van,RT-147,6,11,8,19,1,1,1,11.51,2.87,1.56,1,1,666.38,443.75,148.41,79.6,33.04
DEL100114,Hyderabad,17.473691978235426,78.603771403082,8.62,2.9,Express,Van,RT-126,5,6,19,13,0,0,1,3.78,2.3,1.22,1,1,311.33,189.59,120.39,98.1,36.13
DEL100115,Pune,18.513684963908464,73.90467880857378,3.98,7.43,Heavy,2-Wheeler,RT-114,8,8,5,13,1,0,1,8.36,1.51,0.74,1,0,318.84,47.78,116.97,61.6,80.08
DEL100116,Kolkata,22.57109630308992,88.43340249014113,6.67,0.78,Express,3-Wheeler,RT-106,16,1,2,14,0,0,0,2.01,2.42,0.84,0,1,353.15,106.74,212.65,73.2,52.94
DEL100117,Delhi_NCR,28.469825627378157,76.82098151291088,26.49,4.17,Standard,Van,RT-156,9,5,15,16,1,0,0,8.46,4.13,1.97,1,1,893.85,582.7,216.45,83.8,33.75
DEL100118,Pune,18.476982485397798,73.961404228821,5.99,0.14,Standard,Van,RT-141,13,3,2,8,1,1,0,10.32,2.92,1.63,1,1,334.66,131.82,206.17,80.7,55.85
DEL100119,Bangalore,12.870648708243033,77.68570135166372,4.58,1.93,Express,2-Wheeler,RT-108,8,12,11,17,0,0,1,3.79,2.4,1.49,1,1,212.03,55.0,147.94,76.8,46.26
DEL100120,Kolkata,22.739469216137543,88.2328652505263,8.29,0.18,Express,3-Wheeler,RT-105,20,8,13,12,0,1,1,2.13,4.32,2.37,0,1,447.94,132.56,311.36,77.8,54.06
DEL100121,Pune,18.56815052955628,73.88312506579138,10.07,6.8,Heavy,3-Wheeler,RT-156,6,11,23,8,0,1,0,8.7,2.6,1.58,1,1,337.28,161.09,138.87,90.6,33.5
DEL100122,Mumbai,19.24066401446988,72.80314493683422,7.57,3.63,Standard,2-Wheeler,RT-175,20,6,10,17,1,0,1,9.4,2.61,0.96,1,1,332.22,90.83,251.21,83.4,43.89
DEL100123,Delhi_NCR,28.74631297611308,77.38668070275368,3.52,2.68,Heavy,3-Wheeler,RT-129,20,2,3,11,1,0,1,10.29,3.21,1.63,1,1,354.77,56.28,272.19,77.2,100.87
DEL100124,Mumbai,19.27507639876331,72.95497440848689,12.91,4.34,Express,2-Wheeler,RT-154,15,7,5,8,0,0,0,3.58,3.05,1.16,1,1,416.55,154.9,226.72,75.7,32.27
DEL100125,Bangalore,12.97401116740295,77.66624653407042,12.21,2.61,Heavy,2-Wheeler,RT-153,5,7,3,15,1,0,0,10.56,2.28,1.36,1,0,372.05,146.48,119.64,63.9,30.48
DEL100126,Kolkata,22.70411674456755,88.39971341132359,15.86,8.68,Express,2-Wheeler,RT-126,19,5,6,18,0,0,1,3.59,3.78,1.77,0,1,531.6,190.34,284.16,73.6,33.51
DEL100127,Kolkata,22.41063547089389,88.52583204342744,12.04,3.13,Express,3-Wheeler,RT-158,8,8,13,18,0,0,1,3.21,3.48,2.03,0,1,375.54,192.7,185.94,80.2,31.18
DEL100128,Delhi_NCR,28.744763375515777,77.27355937004407,25.27,6.46,Express,2-Wheeler,RT-106,22,5,10,19,1,0,1,2.38,5.67,2.45,0,1,736.78,303.25,374.39,78.4,29.16
DEL100129,Bangalore,12.875486303339201,77.68060991458142,16.57,1.82,Express,3-Wheeler,RT-139,21,1,19,18,0,0,1,2.77,4.13,1.75,0,1,591.67,265.17,312.47,69.5,35.7
DEL100130,Bangalore,12.937852541978955,77.67793154196453,14.7,0.31,Fragile,2-Wheeler,RT-171,11,9,8,6,1,0,0,8.24,3.27,1.58,1,1,387.75,176.43,202.48,81.0,26.37
DEL100131,Mumbai,18.897966863638597,72.9473535913809,20.59,1.88,Standard,2-Wheeler,RT-101,22,4,18,11,0,0,1,10.28,4.98,2.25,1,1,622.71,247.05,350.24,71.3,30.25
DEL100132,Delhi_NCR,28.89970686288533,76.83374842720238,11.61,0.34,Standard,2-Wheeler,RT-113,17,2,3,17,0,1,1,10.04,4.46,3.01,1,1,455.95,139.32,292.0,73.3,39.27
