shipment_id,zone,latitude,longitude,distance_km,weight_kg,package_type,vehicle_type,route_id,stops_per_route,month,day,hour,is_weekend,is_festive,peak_hour,promised_delivery_hrs,actual_delivery_hrs,delay_hrs,on_time,first_attempt,total_cost_inr,fuel_cost_inr,labor_cost_inr,route_efficiency,cost_per_km,cluster,cluster_label
DEL100018,Bangalore,13.102525387443873,77.61562346734205,1.71,2.18,Heavy,2-Wheeler,RT-117,14,9,17,7,0,1,0,9.02,2.58,0.8865999999999999,1,1,197.23860000000002,20.51,202.17,99.71,147.97,0,Optimal
DEL100019,Mumbai,19.285687042561626,72.80565765471094,1.95,1.1,Fragile,Van,RT-175,21,6,10,12,0,0,1,8.8,3.06,0.8308000000000001,1,1,263.6946,42.8,274.98,94.872,173.77,2,Cluster 2
DEL100020,Hyderabad,17.554018108784465,78.57180889847712,1.0,0.45,Standard,3-Wheeler,RT-134,9,7,3,19,1,0,1,10.77,1.52,0.48360000000000003,1,1,102.1566,16.0,125.08,100.0,130.97,0,Optimal
DEL100021,Delhi_NCR,28.785460922322024,77.39134825968182,7.72,1.75,Heavy,3-Wheeler,RT-138,22,5,26,6,0,0,0,11.0,3.32,0.8432000000000001,1,1,460.2,123.59,292.35,57.82,76.38,1,Overloaded Routes
DEL100022,Mumbai,19.19246079592435,72.93786609648943,7.59,4.43,Standard,2-Wheeler,RT-100,21,12,21,14,0,0,0,7.7,3.09,0.8804,1,0,454.5918,91.02,276.0,56.05,76.83,1,Overloaded Routes
DEL100023,Mumbai,18.909060194957075,72.75975785384738,22.55,2.73,Standard,3-Wheeler,RT-136,8,9,16,13,0,0,1,10.93,3.74,1.0602,1,1,464.2794,360.77,194.86,97.586,26.4,3,Cost-Heavy Routes
DEL100024,Bangalore,13.122296746735492,77.66582761008226,11.62,1.03,Express,2-Wheeler,RT-120,11,4,6,18,1,0,1,3.72,3.05,0.9299999999999999,1,1,260.8164,139.39,194.86,95.698,28.79,0,Optimal
DEL100025,Kolkata,22.67878805184166,88.3685328230294,14.34,6.85,Standard,2-Wheeler,RT-100,9,10,3,8,1,1,0,10.58,3.01,0.9486,1,1,310.245,172.12,177.29,88.736,27.73,0,Optimal
DEL100026,Delhi_NCR,28.458654094481197,76.88763005454179,45.0,6.08,Express,2-Wheeler,RT-103,12,11,9,16,0,0,0,2.08,6.32,1.8290000000000002,0,1,701.0874,540.0,317.21,91.096,19.97,3,Cost-Heavy Routes
DEL100027,Bangalore,13.03994785053014,77.60060706321481,2.02,0.59,Standard,2-Wheeler,RT-157,12,6,11,16,0,0,0,7.79,1.46,0.3286,1,1,233.2746,24.28,147.0,79.06,147.8,0,Optimal
DEL100028,Hyderabad,17.32018365434512,78.4720580913595,26.36,0.1,Standard,2-Wheeler,RT-100,15,5,21,15,0,0,0,11.11,3.73,0.8308000000000001,1,1,421.26240000000007,316.37,250.55,97.232,20.49,3,Cost-Heavy Routes
DEL100029,Delhi_NCR,28.432104468537567,77.20737998134008,10.37,3.38,Express,2-Wheeler,RT-112,13,1,13,19,0,0,1,3.08,3.11,1.1656,1,1,292.5624,124.47,212.72,94.75399999999999,36.16,0,Optimal
DEL100030,Hyderabad,17.344147691552283,78.57914568522303,8.13,4.39,Express,2-Wheeler,RT-145,23,5,18,17,0,0,1,3.09,3.11,0.713,1,1,323.4816,97.54,292.85,85.786,51.02,2,Cluster 2
DEL100031,Delhi_NCR,28.555180979461785,77.11865410435726,7.36,8.59,Fragile,3-Wheeler,RT-146,23,5,26,7,0,0,0,6.91,3.13,0.8122,1,1,437.2992,117.77,293.47,93.102,76.17,2,Cluster 2
DEL100032,Delhi_NCR,28.40581026995405,76.85071282145618,12.97,5.51,Express,2-Wheeler,RT-175,13,9,22,13,0,0,1,2.75,3.8,1.4011999999999998,0,1,329.2848,155.6,237.05,91.80399999999999,32.56,2,Cluster 2
DEL100033,Pune,18.49812338910167,73.89398165041514,8.17,2.29,Express,3-Wheeler,RT-106,24,1,28,12,0,1,1,3.99,4.33,1.4507999999999999,1,1,395.733,130.76,343.61,74.33999999999999,62.08,1,Overloaded Routes
DEL100034,Ahmedabad,23.07000410962386,72.55833251574187,4.86,1.89,Standard,2-Wheeler,RT-150,21,5,24,11,0,0,1,6.03,3.43,1.0912,1,1,272.766,58.28,288.17,95.58,72.0,2,Cluster 2
DEL100035,Kolkata,22.64324366014429,88.50104283901622,7.54,0.1,Standard,Van,RT-102,20,7,27,12,1,0,1,6.91,4.06,1.4322,1,1,350.532,165.84,301.95,89.326,59.62,2,Cluster 2
DEL100036,Mumbai,19.20093294500201,72.7618856476045,13.18,0.71,Standard,Van,RT-149,11,11,22,11,0,0,1,6.12,2.3,0.8122,1,1,353.0982,290.04,168.57,100.0,34.34,0,Optimal
DEL100037,Delhi_NCR,28.640253473628913,76.87345112489272,15.8,1.54,Express,2-Wheeler,RT-125,7,6,4,12,0,0,1,3.36,3.05,0.9982000000000001,1,1,267.6258,189.6,162.85,100.0,21.72,0,Optimal
DEL100038,Chennai,12.94681800634501,80.34666564831679,27.87,2.48,Express,3-Wheeler,RT-130,23,6,22,20,1,0,1,3.0,5.1,1.1904,0,0,737.4432,445.94,362.47,51.80199999999999,33.92,1,Overloaded Routes
DEL100039,Bangalore,12.84987344001553,77.62461085370798,11.32,2.04,Standard,2-Wheeler,RT-161,12,12,24,8,0,0,0,8.24,2.48,0.5332,1,1,243.99960000000002,135.84,182.74,99.946,27.63,0,Optimal
DEL100040,Delhi_NCR,28.70907786715906,77.29172547938087,21.57,3.39,Express,Van,RT-125,9,7,8,19,1,0,1,3.68,4.79,1.8414000000000001,0,1,577.5354,474.49,239.66,97.94,34.33,3,Cost-Heavy Routes
DEL100041,Bangalore,12.99587703922042,77.45341979659672,9.44,0.82,Express,3-Wheeler,RT-166,10,6,13,13,0,0,1,3.9,2.96,0.9672000000000001,1,1,255.9258,151.12,183.44,92.39399999999999,34.74,0,Optimal
DEL100042,Delhi_NCR,28.563230654121995,77.1623981503693,10.25,2.08,Standard,2-Wheeler,RT-154,6,5,10,15,0,0,0,9.19,1.67,0.42779999999999996,1,1,216.37980000000002,123.03,106.36,100.0,27.06,0,Optimal
DEL100043,Pune,18.421966624786208,73.85518807936275,9.93,0.23,Standard,2-Wheeler,RT-127,23,10,2,17,1,1,1,11.86,4.46,1.4198,1,1,366.0852,119.1,339.93,84.72399999999999,47.29,2,Cluster 2
DEL100044,Mumbai,18.864941398956116,72.7735735491465,12.13,1.33,Heavy,2-Wheeler,RT-143,17,5,8,11,0,0,1,10.05,3.11,0.8804,1,1,303.0846,145.58,244.9,98.412,32.03,2,Cluster 2
DEL100045,Hyderabad,17.38892314667056,78.34645051391507,17.41,3.47,Express,2-Wheeler,RT-137,10,9,6,12,1,1,1,2.15,4.44,1.5934,0,1,370.9836,208.93,235.53,95.344,27.32,3,Cost-Heavy Routes
DEL100046,Mumbai,19.105393381717704,72.95683949074117,7.96,2.96,Heavy,3-Wheeler,RT-129,10,8,16,12,0,0,1,9.01,3.42,1.2833999999999999,1,1,259.3578,127.35,199.7,96.642,41.78,0,Optimal
DEL100047,Bangalore,13.08020534468818,77.52005258548569,5.85,11.68,Standard,3-Wheeler,RT-165,6,12,18,11,0,0,1,11.99,1.9,0.527,1,1,245.67660000000004,93.58,114.53,100.0,53.85,0,Optimal
DEL100048,Bangalore,12.858618903790674,77.48659874411705,18.2,0.81,Fragile,2-Wheeler,RT-107,9,10,17,19,0,0,1,9.11,3.37,1.116,1,1,332.6778,218.43,190.07,98.05799999999999,23.43,0,Optimal
DEL100049,Delhi_NCR,28.718215124771817,77.29453300854082,17.47,1.72,Standard,2-Wheeler,RT-113,15,4,6,17,0,0,1,11.79,4.21,1.302,1,1,389.4228,209.68,267.41,75.63799999999999,28.57,1,Overloaded Routes
DEL100050,Ahmedabad,22.956317228965126,72.68724244924874,23.47,1.0,Standard,2-Wheeler,RT-161,15,4,13,8,0,0,0,6.1,2.83,0.434,1,1,381.9426,281.61,219.13,100.0,20.87,3,Cost-Heavy Routes
DEL100051,Kolkata,22.418189949278013,88.38945371735538,7.19,1.45,Fragile,2-Wheeler,RT-174,18,10,23,8,0,1,0,10.33,3.33,1.2524,1,1,269.295,86.25,260.53,100.0,48.03,2,Cluster 2
DEL100052,Pune,18.577265129862727,74.01129073712383,9.24,4.86,Standard,Van,RT-162,17,5,14,12,0,0,1,9.76,2.76,0.6138,1,1,344.1906,203.2,232.45,91.214,47.77,2,Cluster 2
DEL100053,Pune,18.578521733033106,73.99051842492094,18.59,2.88,Express,2-Wheeler,RT-178,12,3,26,8,0,0,0,3.38,2.4,0.33480000000000004,1,1,307.671,223.08,180.07,94.872,21.22,0,Optimal
DEL100054,Hyderabad,17.368807567389982,78.58518878981128,7.9,5.35,Standard,3-Wheeler,RT-165,19,8,21,15,1,0,0,9.42,2.28,0.4774,1,1,313.04519999999997,126.41,231.9,100.0,50.8,2,Cluster 2
DEL100055,Pune,18.420028711596167,74.01844499681816,15.42,0.57,Express,2-Wheeler,RT-139,16,7,10,9,0,0,0,3.49,2.48,0.2976,1,1,345.3528,185.05,214.72,100.0,28.71,0,Optimal
DEL100056,Delhi_NCR,28.673796188076867,77.37210843897374,9.47,5.17,Fragile,2-Wheeler,RT-112,7,5,24,13,1,0,1,6.9,3.22,1.271,1,1,286.62660000000005,113.64,168.82,100.0,38.8,0,Optimal
DEL100057,Delhi_NCR,28.626159142259148,77.25050438663757,12.93,0.15,Standard,3-Wheeler,RT-116,9,10,11,6,0,0,0,11.53,2.7,0.8308000000000001,1,1,283.14,206.82,166.52,100.0,28.08,0,Optimal
DEL100058,Delhi_NCR,28.663201330468056,77.31211266522874,4.79,5.49,Express,3-Wheeler,RT-114,10,3,13,11,0,0,1,2.28,2.65,0.9299999999999999,0,1,227.8068,76.63,172.63,94.282,60.98,0,Optimal
DEL100059,Mumbai,18.886733491913766,72.76810562519717,11.23,1.0,Standard,2-Wheeler,RT-132,6,5,12,16,1,0,0,11.96,2.19,0.7688,1,1,284.076,134.8,124.63,80.83,32.42,0,Optimal
DEL100060,Mumbai,18.961196455304567,72.79786340403396,1.0,0.94,Express,3-Wheeler,RT-115,12,3,9,13,0,0,1,3.21,2.23,0.7378,1,1,134.1834,16.0,174.11,96.75999999999999,172.03,0,Optimal
DEL100061,Mumbai,19.24230260496649,72.81576419620741,20.64,1.79,Standard,3-Wheeler,RT-112,9,10,4,20,0,0,1,8.67,3.46,1.0664,1,1,409.0944,330.28,192.93,94.51799999999999,25.41,3,Cost-Heavy Routes
DEL100062,Kolkata,22.741552839536695,88.31791352711988,16.59,7.06,Standard,2-Wheeler,RT-122,21,5,7,18,0,0,1,11.52,5.09,1.5624,1,1,465.9408,199.12,346.28,87.08399999999999,36.0,3,Cost-Heavy Routes
DEL100063,Mumbai,18.931953062059915,72.98690955214275,5.59,0.12,Standard,3-Wheeler,RT-135,6,1,24,11,0,1,1,10.77,2.27,1.0912,1,0,319.2384,89.46,127.53,73.514,73.2,0,Optimal
DEL100064,Mumbai,19.146418498975397,72.89945871493595,26.64,1.09,Standard,3-Wheeler,RT-142,15,6,22,7,0,1,0,8.57,5.15,1.5872,1,1,565.7886,426.17,300.28,91.214,27.23,3,Cost-Heavy Routes
DEL100065,Bangalore,12.994377242828172,77.70172062239529,19.94,4.85,Fragile,2-Wheeler,RT-149,8,10,2,17,1,0,1,6.41,3.84,1.302,1,1,412.5186,239.24,198.35,100.0,26.53,3,Cost-Heavy Routes
DEL100066,Delhi_NCR,28.514227370665647,77.49743374123972,4.95,1.26,Standard,3-Wheeler,RT-173,15,4,7,18,0,0,1,11.21,3.0,1.0168,1,1,223.83660000000003,79.19,225.13,99.11999999999999,57.98,0,Optimal
DEL100067,Kolkata,22.741177606751375,88.42761399022143,7.57,0.56,Standard,2-Wheeler,RT-112,13,4,9,17,1,0,1,10.59,2.91,1.0353999999999999,1,1,245.856,90.85,206.02,100.0,41.63,0,Optimal
DEL100068,Delhi_NCR,28.49977122546457,77.2761597697019,5.15,1.38,Standard,2-Wheeler,RT-129,10,8,5,9,0,0,0,10.74,1.73,0.42779999999999996,1,1,154.9548,61.76,140.63,100.0,38.6,0,Optimal
DEL100069,Ahmedabad,22.964439681795835,72.50613050044116,13.14,1.22,Standard,3-Wheeler,RT-156,6,2,15,21,0,0,0,10.47,1.67,0.3286,1,1,236.86260000000001,210.22,106.3,100.0,23.11,0,Optimal
DEL100070,Kolkata,22.490189010978924,88.36191803485876,7.36,6.18,Express,Van,RT-129,19,4,18,10,0,0,1,3.26,3.72,1.3081999999999998,1,1,368.7762,161.88,282.08,94.282,64.26,2,Cluster 2
DEL100071,Delhi_NCR,28.834136252704187,77.30901834883642,2.42,3.59,Fragile,Van,RT-170,9,2,4,16,1,0,0,11.15,2.06,0.6696000000000001,1,1,194.1264,53.18,143.96,100.0,102.97,0,Optimal
DEL100072,Delhi_NCR,28.771353260599987,77.09784533411366,10.22,1.76,Standard,2-Wheeler,RT-109,16,1,19,18,1,0,1,6.01,3.44,1.0912,1,1,282.3132,122.7,248.3,89.08999999999999,35.4,2,Cluster 2
DEL100073,Kolkata,22.521077247391435,88.32986356704461,17.8,11.14,Heavy,2-Wheeler,RT-165,17,10,20,10,0,1,1,7.42,4.81,1.7918,1,1,477.9372,213.55,304.28,90.742,34.43,3,Cost-Heavy Routes
DEL100074,Chennai,13.245059825494423,80.11002729785311,11.37,1.57,Express,3-Wheeler,RT-138,21,3,26,18,0,0,1,2.47,3.67,1.0664,0,1,365.9214,181.96,296.34,90.624,41.25,2,Cluster 2
DEL100075,Chennai,13.196812598448979,80.24466885214309,14.63,0.15,Standard,2-Wheeler,RT-136,8,12,7,11,0,0,1,6.66,3.15,0.9486,1,1,283.92,175.5,174.39,93.574,24.89,0,Optimal
DEL100076,Kolkata,22.553515396716357,88.4538401811453,12.03,0.76,Express,Van,RT-102,14,8,26,20,0,0,1,2.59,2.99,0.9299999999999999,0,0,444.8808,264.57,216.58,59.471999999999994,47.43,1,Overloaded Routes
DEL100077,Delhi_NCR,28.64333447071235,77.41139626665716,16.2,1.43,Express,3-Wheeler,RT-133,5,6,8,10,0,0,1,3.42,2.89,0.9424,1,1,306.8598,259.24,141.06,97.11399999999999,24.28,0,Optimal
DEL100078,Mumbai,19.255315838805068,72.87651627806204,12.67,0.43,Express,Van,RT-137,15,12,17,19,1,0,1,3.4,3.72,1.302,1,1,404.49240000000003,278.65,250.18,84.48799999999999,40.94,2,Cluster 2
DEL100079,Delhi_NCR,28.538413898617524,77.21464523001535,9.89,7.37,Heavy,2-Wheeler,RT-113,20,7,13,7,0,0,0,7.4,3.43,1.0912,1,1,341.2266,118.62,280.2,82.246,44.26,2,Cluster 2
DEL100080,Kolkata,22.71932717096584,88.27373176615198,11.29,3.64,Standard,2-Wheeler,RT-163,15,2,24,16,1,0,0,9.93,2.65,0.5642,1,1,294.57480000000004,135.46,212.64,100.0,33.46,0,Optimal
DEL100081,Hyderabad,17.46803830424722,78.52104607703238,23.95,0.78,Fragile,Van,RT-138,13,6,21,13,0,0,1,8.81,4.05,1.1408,1,1,605.1786000000001,526.99,245.73,95.344,32.39,3,Cost-Heavy Routes
DEL100082,Mumbai,19.179900860086878,72.78947030553817,15.1,2.23,Heavy,3-Wheeler,RT-153,6,8,28,13,0,0,1,8.75,3.27,1.0664,1,1,346.4838,241.65,162.47,100.0,29.41,0,Optimal
DEL100083,Delhi_NCR,28.757912482341045,77.43632276446594,5.58,3.2,Standard,Van,RT-101,11,8,23,10,0,0,1,10.61,2.21,0.5952,1,1,208.57980000000003,122.73,165.23,95.344,47.93,0,Optimal
DEL100084,Mumbai,18.93085739899161,72.82126299747716,11.18,7.09,Express,2-Wheeler,RT-142,23,4,11,16,1,0,0,3.35,3.78,0.8555999999999999,0,1,413.76660000000004,134.17,316.24,79.06,47.44,2,Cluster 2
DEL100085,Mumbai,19.28712779231874,72.80429308581284,13.0,5.33,Standard,3-Wheeler,RT-152,22,6,27,9,1,0,0,8.09,3.4,0.62,1,1,415.1862,208.03,295.04,86.258,40.94,2,Cluster 2
DEL100086,Chennai,13.191754037347831,80.223069464112,9.68,1.81,Fragile,3-Wheeler,RT-102,24,5,1,14,0,0,0,11.77,3.3,0.6324,1,1,410.9976,154.95,307.38,93.456,54.41,2,Cluster 2
DEL100087,Hyderabad,17.336530876041113,78.60476246544539,2.43,3.73,Express,2-Wheeler,RT-140,11,9,2,10,0,0,1,3.13,1.34,0.42779999999999996,1,1,153.09060000000002,29.14,134.93,100.0,80.84,0,Optimal
DEL100088,Pune,18.511326313750665,73.9044452061789,5.98,2.06,Standard,3-Wheeler,RT-107,13,8,17,19,0,0,1,7.83,2.26,0.6758000000000001,1,1,249.04620000000003,95.61,183.16,97.94,53.43,0,Optimal
DEL100089,Bangalore,12.92573167928992,77.65753279800222,8.19,2.01,Standard,3-Wheeler,RT-174,16,2,5,7,0,0,0,9.66,2.36,0.4402,1,1,277.91400000000004,130.99,210.74,100.0,43.52,0,Optimal
DEL100090,Delhi_NCR,28.48176193629251,77.07375707565623,28.36,0.3,Express,2-Wheeler,RT-162,7,12,6,9,0,0,0,2.95,3.92,1.1408,0,1,415.7634,340.3,193.05,97.586,18.8,3,Cost-Heavy Routes
DEL100091,Chennai,13.237764928934116,80.16453335817528,14.17,0.34,Standard,2-Wheeler,RT-164,20,7,26,10,1,0,1,10.9,4.24,1.2896,1,1,360.4302,170.0,308.37,82.6,32.62,2,Cluster 2
DEL100092,Chennai,13.112694665816516,80.18129751605616,3.42,1.89,Standard,3-Wheeler,RT-178,11,7,25,12,0,0,1,6.28,1.89,0.5146,1,1,173.08200000000002,54.65,153.99,100.0,64.96,0,Optimal
DEL100093,Hyderabad,17.52071559399031,78.34580578125141,10.07,0.78,Standard,3-Wheeler,RT-103,9,11,24,10,1,1,1,10.25,4.2,1.7608,1,1,285.7998,161.07,219.07,96.642,36.4,0,Optimal
DEL100094,Kolkata,22.73943736577749,88.35882633948427,21.88,0.1,Standard,Van,RT-167,11,12,7,13,0,0,1,10.32,4.08,1.3826,1,1,559.1742,481.4,230.95,100.0,32.76,3,Cost-Heavy Routes
DEL100095,Bangalore,12.882617662171263,77.47572386156551,7.29,3.21,Standard,2-Wheeler,RT-109,23,1,28,18,0,0,1,7.28,3.82,1.085,1,1,338.5278,87.49,317.64,80.122,59.53,2,Cluster 2
DEL100096,Bangalore,12.85941526678064,77.6319208819946,18.99,0.1,Standard,2-Wheeler,RT-174,21,1,21,16,1,0,0,6.68,3.8,0.744,1,1,411.20820000000003,227.86,300.98,84.48799999999999,27.76,2,Cluster 2
DEL100097,Bangalore,12.91795111175095,77.74010917805892,3.5,2.26,Standard,Van,RT-149,20,12,15,14,0,0,0,10.5,1.96,0.36579999999999996,1,1,271.869,77.04,228.67,92.74799999999999,99.53,2,Cluster 2
DEL100098,Delhi_NCR,28.615443761830903,76.97409999081134,1.0,1.94,Express,Van,RT-122,23,4,19,8,1,0,0,3.94,2.54,0.6262,1,1,249.7482,22.0,272.74,93.92799999999998,320.19,2,Cluster 2
DEL100099,Delhi_NCR,28.708572493302015,77.2947440518198,20.58,8.67,Express,2-Wheeler,RT-160,22,5,16,16,0,1,0,2.83,5.56,1.7794,0,1,521.508,247.01,370.63,92.15799999999999,32.48,3,Cost-Heavy Routes
DEL100100,Delhi_NCR,28.483520953950475,76.91733345140182,7.92,1.66,Standard,Van,RT-146,23,4,25,9,0,0,0,7.34,3.7,0.9176,1,1,399.6798,174.2,313.6,88.382,64.71,2,Cluster 2
DEL100101,Hyderabad,17.26283499942674,78.55774070527298,2.52,0.16,Standard,2-Wheeler,RT-102,8,7,13,17,1,0,1,6.19,1.16,0.341,1,1,121.0014,30.26,104.51,100.0,61.52,0,Optimal
DEL100102,Mumbai,19.148712037429814,72.89238926272495,8.32,2.01,Express,2-Wheeler,RT-116,5,3,5,10,1,0,1,2.31,2.45,0.9672000000000001,1,0,235.8564,99.9,125.85,67.85,36.32,0,Optimal
DEL100103,Bangalore,13.09545965713922,77.73198455353251,11.96,4.6,Standard,2-Wheeler,RT-121,8,7,3,12,0,0,1,8.01,2.63,0.744,1,1,245.44260000000003,143.51,156.03,99.946,26.31,0,Optimal
DEL100104,Pune,18.546338591099186,74.01048138415398,13.88,14.4,Standard,2-Wheeler,RT-115,8,8,3,11,0,0,1,7.63,2.71,0.6572,1,1,336.30480000000006,166.54,158.8,100.0,31.07,0,Optimal
DEL100105,Mumbai,18.94262854451655,72.78357588581932,1.27,1.41,Standard,Van,RT-179,13,6,19,18,1,0,1,11.52,2.23,0.775,1,1,159.7752,27.96,181.9,100.0,161.18,0,Optimal
DEL100106,Bangalore,12.894412364030947,77.46998039963127,6.92,0.97,Heavy,3-Wheeler,RT-102,12,6,14,9,1,0,0,7.4,1.35,0.31,1,1,214.18800000000002,110.7,143.41,100.0,39.69,0,Optimal
DEL100107,Chennai,13.062467811200413,80.33415142307373,11.06,5.93,Heavy,Van,RT-151,6,8,16,14,0,0,0,8.81,1.93,0.4526,1,1,303.1236,243.25,115.67,100.0,35.15,0,Optimal
DEL100108,Mumbai,18.867704593300832,72.786632974203,13.86,0.53,Heavy,3-Wheeler,RT-132,10,8,22,9,1,0,0,11.74,2.59,0.6696000000000001,1,1,293.9898,221.76,170.79,94.39999999999999,27.19,0,Optimal
DEL100109,Delhi_NCR,28.626099514141718,77.45371251226953,5.53,2.39,Express,2-Wheeler,RT-141,15,7,17,16,0,0,0,3.19,2.23,0.651,1,1,224.99099999999999,66.4,198.17,100.0,52.13,0,Optimal
DEL100110,Mumbai,18.99227024723954,72.90217044260652,9.37,1.3,Express,3-Wheeler,RT-101,8,6,27,18,0,0,1,2.96,2.69,0.9238,1,1,244.84980000000002,149.97,158.15,98.412,33.49,0,Optimal
DEL100111,Delhi_NCR,28.420786429525194,76.90384024067346,7.28,0.1,Standard,Van,RT-138,18,6,4,12,0,0,1,7.96,4.11,1.3454,1,1,367.5282,160.07,287.83,85.432,64.76,2,Cluster 2
DEL100112,Pune,18.64665753073971,74.0395356089308,12.2,1.07,Express,3-Wheeler,RT-145,13,10,13,13,0,0,1,3.59,2.98,0.8494,1,1,327.26460000000003,195.19,208.43,91.68599999999999,34.39,0,Optimal
DEL100113,Kolkata,22.40172899332704,88.53313412489813,20.17,0.77,Standard,Van,RT-147,6,11,8,19,1,1,1,11.51,2.87,0.9672000000000001,1,1,519.7764,443.75,148.41,93.92799999999998,33.04,3,Cost-Heavy Routes
DEL100114,Hyderabad,17.473691978235426,78.603771403082,8.62,2.9,Express,Van,RT-126,5,6,19,13,0,0,1,3.78,2.3,0.7564,1,1,242.8374,189.59,120.39,100.0,36.13,0,Optimal
DEL100115,Pune,18.513684963908464,73.90467880857378,3.98,7.43,Heavy,2-Wheeler,RT-114,8,8,5,13,1,0,1,8.36,1.51,0.4588,1,0,248.6952,47.78,116.97,72.688,80.08,0,Optimal
DEL100116,Kolkata,22.57109630308992,88.43340249014113,6.67,0.78,Express,3-Wheeler,RT-106,16,1,2,14,0,0,0,2.01,2.42,0.5207999999999999,0,1,275.457,106.74,212.65,86.376,52.94,2,Cluster 2
